price,area,province_name,district_name,ward_name,floor_count,frontage_width,bedroom_count,bathroom_count,house_direction
22.77738957077016,35.0,Hà Nội,Hoàng Mai,Hoàng Văn Thụ,4.0,4.0,4.0,3.0,Unknown
22.24932214065885,53.0,Hồ Chí Minh,Thủ Đức,Hiệp Phú,5.0,4.0,4.0,3.0,Unknown
23.165612872402573,76.0,Hồ Chí Minh,Tân Phú,Tân Thành,4.0,4.0,5.0,5.0,Nam
22.04768479461417,82.0,Hồ Chí Minh,Tân Bình,12,4.0,5.0,5.0,3.0,Unknown
23.83678114620123,31.0,Hà Nội,Đống Đa,Trung Liệt,4.0,6.0,1.0,1.0,Unknown
24.5074554708874,110.0,Hà Nội,Thanh Xuân,Khương Trung,4.0,4.7,4.0,3.0,Unknown
22.28141045520349,78.0,Hồ Chí Minh,Nhà Bè,Phước Kiển,4.0,4.7,2.0,2.0,Unknown
23.54464472341515,130.0,Hải Phòng,Lê Chân,Dư Hàng Kênh,4.0,4.7,4.0,3.0,Đông Bắc
23.248994481334666,78.0,Hồ Chí Minh,5,14,4.0,4.0,3.0,2.0,Unknown
23.641036569084743,90.0,Hồ Chí Minh,Phú Nhuận,15,4.0,4.7,4.0,3.0,Unknown
22.477669519803708,65.0,Hồ Chí Minh,Bình Tân,Bình Hưng Hòa,2.0,4.0,3.0,3.0,Unknown
23.272711007950107,36.0,Hà Nội,Đống Đa,Trung Liệt,4.0,4.7,4.0,3.0,Unknown
21.253894088596816,110.0,Hà Nội,Thanh Trì,Tả Thanh Oai,4.0,7.0,4.0,3.0,Unknown
22.64018844927553,60.0,Hồ Chí Minh,Bình Tân,An Lạc,4.0,5.0,4.0,3.0,Unknown
23.12116110983569,47.0,Hà Nội,Long Biên,Bồ Đề,4.0,5.0,5.0,3.0,Unknown
23.743690723139554,106.0,Hồ Chí Minh,Bình Thạnh,13,4.0,5.3,5.0,5.0,Unknown
23.264867830489695,95.0,Hồ Chí Minh,Nhà Bè,Unknown,4.0,5.0,5.0,3.0,Tây
22.833479037414214,40.0,Hà Nội,Tây Hồ,Phú Thượng,4.0,4.7,4.0,3.0,Unknown
23.83678114620123,95.0,Hồ Chí Minh,Phú Nhuận,8,3.0,4.9,4.0,3.0,Đông
22.33270374958051,75.0,Đà Nẵng,Hải Châu,Unknown,1.0,5.4,4.0,3.0,Unknown
22.66917598614458,40.0,Hồ Chí Minh,8,Unknown,4.0,6.5,4.0,3.0,Unknown
22.72474583729167,160.0,Hồ Chí Minh,Thủ Đức,Linh Đông,1.0,10.0,4.0,4.0,Unknown
23.025850930040455,200.0,Bình Dương,Dĩ An,Dĩ An,4.0,4.7,4.0,3.0,Unknown
22.98502893552437,60.0,Hồ Chí Minh,Tân Bình,6,4.0,4.7,3.0,2.0,Unknown
22.802707378751247,38.0,Hà Nội,Ba Đình,Unknown,4.0,3.5,3.0,3.0,Unknown
23.025850930040455,138.9,Hà Nội,Gia Lâm,Trâu Quỳ,4.0,4.7,3.0,3.0,Unknown
22.73816885762201,36.0,Hồ Chí Minh,7,Tân Phong,5.0,4.7,3.0,4.0,Unknown
23.045653557334674,50.0,Hà Nội,Hai Bà Trưng,Minh Khai,5.0,5.2,5.0,5.0,Unknown
22.77738957077016,36.0,Hà Nội,Hoàng Mai,Định Công,4.0,4.7,4.0,3.0,Unknown
22.59506801400185,75.4,Hồ Chí Minh,7,Tân Thuận Đông,2.0,4.1,5.0,3.0,Unknown
22.7709586804407,148.0,Hà Nội,Sóc Sơn,Quang Tiến,4.0,5.3,4.0,3.0,Tây - Bắc
24.1244632186419,68.0,Hà Nội,Ba Đình,Unknown,4.0,3.5,3.0,5.0,Unknown
23.074641094205127,80.0,Hồ Chí Minh,6,10,4.0,4.0,6.0,4.0,Unknown
22.625373363492585,63.4,Hồ Chí Minh,Gò Vấp,15,4.0,5.2,3.0,3.0,Unknown
23.476926549364368,63.5,Hồ Chí Minh,3,Võ Thị Sáu,4.0,4.0,4.0,3.0,Unknown
23.809295748526864,59.0,Hà Nội,Đống Đa,Láng Thượng,4.0,4.0,4.0,4.0,Unknown
23.693680302567394,280.0,Hồ Chí Minh,Thủ Đức,Long Thạnh Mỹ,4.0,8.0,4.0,3.0,Unknown
22.56381547050263,65.0,Hồ Chí Minh,Tân Bình,15,3.0,4.2,4.0,3.0,Unknown
22.409664790701825,110.0,Đà Nẵng,Liên Chiểu,Hòa Hiệp Nam,4.0,10.0,3.0,3.0,Unknown
24.051892525809574,69.0,Hà Nội,Đống Đa,Unknown,5.0,4.2,5.0,5.0,Tây - Nam
22.79012859654597,45.0,Hồ Chí Minh,Gò Vấp,5,4.0,4.5,4.0,4.0,Unknown
23.526626217913552,53.0,Hà Nội,Cầu Giấy,Mai Dịch,4.0,3.8,4.0,3.0,Unknown
23.41789301778405,41.0,Hà Nội,Tây Hồ,Thụy Khuê,4.0,4.8,4.0,3.0,Unknown
23.43064914912763,71.0,Hồ Chí Minh,Tân Phú,Tân Quý,5.0,4.0,4.0,3.0,Nam
21.854667948760092,48.0,Hồ Chí Minh,7,Tân Thuận Đông,2.0,3.6,2.0,2.0,Unknown
22.77738957077016,77.8,Hồ Chí Minh,Bình Thạnh,Unknown,4.0,6.0,4.0,3.0,Unknown
24.0871074320994,138.0,Hồ Chí Minh,Bình Thạnh,11,4.0,4.7,4.0,3.0,Unknown
